PEAKID,PKNAME,YEAR,HOST,LAT,LON,HEIGHTM,COMRTE,ROUTE_SUCCESS,ROUTE_HIGHPOINT,ROUTE
MAKA,Makalu,1997,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW side
MAKA,Makalu,1997,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1997,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1970,1,27.890887,87.08841,8485,Not Known,1,,SE Ridge
MAKA,Makalu,1998,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1998,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1998,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1998,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1998,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Ridge
MAKA,Makalu,1934,2,27.890887,87.08841,8485,Not Known,0,,N side
MAKA,Makalu,1954,1,27.890887,87.08841,8485,Not Known,0,,S Face-SE Ridge
MAKA,Makalu,1954,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1954,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
MAKA,Makalu,1955,1,27.890887,87.08841,8485,Not Known,1,,Makalu La-NW Face
MAKA,Makalu,1961,1,27.890887,87.08841,8485,False,0,,Makalu La-N Face
MAKA,Makalu,1969,1,27.890887,87.08841,8485,Not Known,0,,S Col
MAKA,Makalu,1981,1,27.890887,87.08841,8485,Not Known,0,,SE Ridge
MAKA,Makalu,1971,1,27.890887,87.08841,8485,Not Known,1,,W Pillar
MAKA,Makalu,1998,1,27.890887,87.08841,8485,False,0,,Makalu La-NW Ridge
MAKA,Makalu,1998,1,27.890887,87.08841,8485,False,0,,Makalu La-NW Ridge
MAKA,Makalu,1998,1,27.890887,87.08841,8485,Not Known,0,,Makalu La-NW Ridge
